taxon,n.taxa
Duperrea,1
Catunaregam,1
Tarennoidea,1
Tarenna,18
Pavetta,6
Emmenopterys,1
Mussaenda,32
Timonius,1
Guettarda,1
Antirhea,1
Cephalanthus,1
Nauclea,1
Sinoadina,1
Neonauclea,4
Pertusadina,1
Metadina,1
Adina,3
Haldina,1
Uncaria,12
Neolamarckia,1
Mitragyna,3
Hymenodictyon,2
Luculia,5
Gelsemium,1
Centaurium,4
Canscora,3
Fagraea,1
Gentianopsis,11
Pterygocalyx,1
Lomatogoniopsis,3
Gentianella,9
Swertia,95
Jaeschkea,2
Comastoma,14
Lomatogonium,23
Halenia,4
Veratrilla,2
Megacodon,2
Tripterospermum,21
Gentiana,317
Crawfurdia,20
Exacum,2
Sebaea,1
Alstonia,8
Kopsia,3
Bousigonia,2
Tabernaemontana,5
Melodinus,12
Alyxia,12
Hunteria,1
Carissa,4
Wrightia,6
Strophanthus,6
Kibatalia,1
Anodendron,5
Myriopteron,1
Parepigynum,1
Beaumontia,5
Vallaris,2
Sindechites,2
Apocynum,2
Cleghornia,1
Ichnocarpus,4
Pottsia,2
Aganosma,5
Epigynum,1
Trachelospermum,6
Chonemorpha,8
Amalocalyx,1
Parameria,1
Urceola,8
Toxocarpus,13
Secamone,6
Heterostemma,11
Dregea,6
Telosma,3
Jasminanthes,4
Gymnema,7
Marsdenia,25
Hoya,39
Dischidia,5
Micholitzia,1
Cynanchum,60
Graphistemma,1
Holostemma,1
Raphistemma,2
Metaplexis,2
Sarcostemma,1
Oxystelma,1
Calotropis,2
Biondia,13
Tylophora,36
Gongronema,2
Ceropegia,17
Brachystelma,2
Pentasachme,1
Parsonsia,2
Periploca,7
Cryptolepis,2
Gymnanthera,1
Streptocaulon,1
Cerbera,1
Amsonia,1
Rauvolfia,7
Gardneria,5
Geniostoma,1
Mitrasacme,5
Mitreola,4
Strychnos,13
Lithospermum,5
Arnebia,6
Maharanga,5
Onosma,36
Sinojohnstonia,3
Myosotis,6
Trigonotis,56
Brachybotrys,1
Actinocarya,1
Metaeritrichium,1
Cynoglossum,18
Lindelofia,3
Bothriospermum,5
Microula,47
Rochelia,5
Lappula,46
Hackelia,3
Eritrichium,45
Amblynotus,1
Asperugo,1
Mertensia,8
Trichodesma,3
Microcaryum,1
Lasiocaryum,3
Anchusa,1
Pulmonaria,1
Cordia,5
Ehretia,14
Carmona,1
Tournefortia,6
Heliotropium,10
Saurauia,19
Actinidia,87
Clethra,7
Pyrola,26
Orthilia,2
Chimaphila,5
Moneses,1
Lyonia,13
